order_id,q_standard,q_small,q_box,demand,creation_time,committed_completion_time,load_time,unload_time,pickup_id,delivery_id
310001,1,0,0,1.0,00:00:31,04:00:31,240,240,e47399648fa842b2b8f80094343d8091,ffaae12a3c054da585696a96e880cf64
310002,1,0,0,1.0,00:00:31,04:00:31,240,240,6c9f8a62eff74e589c081de647f8eb3e,4780dc7fb51f4f5da3dea9e56c125fe6
340003,0,0,3,0.75,00:00:34,04:00:34,180,180,e2d5093fbe36431f8986ddb0e1c586be,a678f7137f7e4debbc6bc4679cd2c1b4
1210004,0,2,0,1.0,00:01:21,04:01:21,240,240,24e7da27483f42109e5fd5db774a8168,7ddb093d3d5d4b0397575e9f8b718386
1540005,0,0,1,0.25,00:01:54,04:01:54,60,60,43a4215be06543c1985c1e9460dec52d,3dae461cb13a4ca7bc113b9b1842283a
1560006,0,1,0,0.5,00:01:56,04:01:56,120,120,5e2e9efa5ade4984bb18af66028bc0c8,5fda6fea62824ea1a9f8d94a2f2d997d
2070007,0,0,1,0.25,00:02:07,04:02:07,60,60,e2d5093fbe36431f8986ddb0e1c586be,cdcbb2960996475fb11a199d4226fc15
2100008,0,0,2,0.5,00:02:10,04:02:10,120,120,7b4a71ce5d744da09cf5f4c744924812,bdb72ae965bb4229a3b93402b5cd3d78
3230009,0,1,0,0.5,00:03:23,04:03:23,120,120,4780dc7fb51f4f5da3dea9e56c125fe6,9b40bfd6ca1c432498685540652a5a8b
3440010,1,0,0,1.0,00:03:44,04:03:44,240,240,a1beabe727d34dba968e1a00f69d76ed,5ec55e3f537d448d95144cec1cc37f54
3480011,0,0,1,0.25,00:03:48,04:03:48,60,60,e2327ef4f46a40908e2b8ad97e855333,9f1a09c368584eba9e7f10a53d55caae
4020012,0,0,1,0.25,00:04:02,04:04:02,60,60,0c589202a6584664939d46842080d019,1394dce6e0b24fc8ad3d0a807e490829
4450013,0,1,1,0.75,00:04:45,04:04:45,180,180,aa61dc034d9240e9950b027ba204f5f0,1394dce6e0b24fc8ad3d0a807e490829
5180014,0,0,1,0.25,00:05:18,04:05:18,60,60,b854aac6ac2345789fbb3d155321216a,081dc54492414061ae6c6e47bf7b8db5
6280015,1,0,0,1.0,00:06:28,04:06:28,240,240,6ba3750e4eda425fae9db0cd825c39cd,a1beabe727d34dba968e1a00f69d76ed
6330016,1,0,0,1.0,00:06:33,04:06:33,240,240,5934c25a3ab2421c9533dcfcb439ba76,6380b13f12984a08a4994fb4c126215b
6540017,0,0,1,0.25,00:06:54,04:06:54,60,60,9b02d5056bcf48abba07259bb3ca9396,e2327ef4f46a40908e2b8ad97e855333
7360018,0,0,1,0.25,00:07:36,04:07:36,60,60,be79e1dcfff84bca9677a61c7fd5b5a6,681162833e354d329df2b7aff119f015
7410019,0,0,1,0.25,00:07:41,04:07:41,60,60,797fe83c0ac14a3c8724aa4d9ce0049a,ce433928b8724d77bbe97ccb1e3312a5
9310020,4,0,0,4.0,00:09:31,04:09:31,960,960,d48e48b0b026419990c5ed5080c5da9d,5eb5c6872aa04a0c8175969801d56658
9590021,0,0,1,0.25,00:09:59,04:09:59,60,60,becb4f85393540b287e7329758b8d832,b36cdc41430843efbf674ab80369d77b
10040022,0,0,4,1.0,00:10:04,04:10:04,240,240,680ee12255ad415ab7838647f138778e,b6dd694ae05541dba369a2a759d2c2b9
10370023,0,1,0,0.5,00:10:37,04:10:37,120,120,433544a316b84100a11a703f1b99494a,a1706ab3350d477cb63e047c4f4ad819
10580024,1,0,0,1.0,00:10:58,04:10:58,240,240,681162833e354d329df2b7aff119f015,1e93ab7137b643aab3f9b31fdb1c35a8
11140025,0,0,1,0.25,00:11:14,04:11:14,60,60,ffaae12a3c054da585696a96e880cf64,7b4a71ce5d744da09cf5f4c744924812
11150026,0,1,0,0.5,00:11:15,04:11:15,120,120,e2327ef4f46a40908e2b8ad97e855333,81dc3e210b4449bf91d9874c26f173f0
11240027,0,2,0,1.0,00:11:24,04:11:24,240,240,681162833e354d329df2b7aff119f015,433544a316b84100a11a703f1b99494a
12060028,1,0,0,1.0,00:12:06,04:12:06,240,240,c56a0078468d4f1498be9e79f6bbd4c0,e2327ef4f46a40908e2b8ad97e855333
12550029,0,0,1,0.25,00:12:55,04:12:55,60,60,433901c139d54522a8f3790b07a335e5,77e3d5c3f5ca4e0dabde094ba94ea49b
