order_id,q_standard,q_small,q_box,demand,creation_time,committed_completion_time,load_time,unload_time,pickup_id,delivery_id
170001,2,0,0,2.0,00:00:17,04:00:17,480,480,ef3171964da04ea7ac2e547f2441eff0,9e692abf321146bebb9917f3ada777d4
260002,0,0,1,0.25,00:00:26,04:00:26,60,60,6e4801bd12654045a5f3d63e2951594c,f99babdb60984c91ab485b8590630839
310003,0,0,1,0.25,00:00:31,04:00:31,60,60,852c1621c9c44d029b33d71c1274caeb,4e6e1dec486340a0b4fbc7e1eeed99ab
470004,0,1,0,0.5,00:00:47,04:00:47,120,120,5ec55e3f537d448d95144cec1cc37f54,c4e793f5dc5a4026b54f5b9925de1196
520005,0,5,0,2.5,00:00:52,04:00:52,600,600,66b7f2fbd6a042c1bbd1b567d68daa56,773b0458659248f1938a61ddaeef55ef
1210006,0,2,0,1.0,00:01:21,04:01:21,240,240,ba2f9926cafc49468d76077a3e86aa4f,13f358cee72045fc8e52fc834957788a
1270007,0,0,2,0.5,00:01:27,04:01:27,120,120,77ec676ff9e348298044721c0fc2b690,ef7a2e12c20043a9aba7fecf660b2616
1280008,0,0,2,0.5,00:01:28,04:01:28,120,120,d48e48b0b026419990c5ed5080c5da9d,6fbe6d91a5f04b359e02bde29d349128
1350009,1,0,0,1.0,00:01:35,04:01:35,240,240,9f1a09c368584eba9e7f10a53d55caae,1821ddf96fe14083ba213868cd82b840
3230010,4,1,0,4.5,00:03:23,04:03:23,1080,1080,c1e1e4250f63479ca9261967f84b6719,d66f217d91dd4b43a32fb4984c74845d
3250011,0,3,0,1.5,00:03:25,04:03:25,360,360,cdcbb2960996475fb11a199d4226fc15,32ab2049f3fb437881ff3912470d7840
3360012,0,5,0,2.5,00:03:36,04:03:36,600,600,8c0126415c904d388bfdecbb4bf23c2e,b4258aba02fe457889bff20abcd3c10e
3440013,0,0,1,0.25,00:03:44,04:03:44,60,60,00e5630fbb3c4ff4b753ac1e1c15d561,32ab2049f3fb437881ff3912470d7840
3490014,0,0,1,0.25,00:03:49,04:03:49,60,60,a6fefc4ac6f541cbbc7af963c13350f6,433901c139d54522a8f3790b07a335e5
5180015,0,0,2,0.5,00:05:18,04:05:18,120,120,bdb72ae965bb4229a3b93402b5cd3d78,2445d4bd004c457d95957d6ecf77f759
5370016,0,1,0,0.5,00:05:37,04:05:37,120,120,99f05d5e71104b04838cff91b231a002,081dc54492414061ae6c6e47bf7b8db5
6350017,3,0,0,3.0,00:06:35,04:06:35,720,720,b8f0e72c209a459991fd3cb61c72b333,9829a9e1f6874f28b33b57a7a42bb49f
6420018,0,0,2,0.5,00:06:42,04:06:42,120,120,3dae461cb13a4ca7bc113b9b1842283a,a1beabe727d34dba968e1a00f69d76ed
6540019,1,0,0,1.0,00:06:54,04:06:54,240,240,99f05d5e71104b04838cff91b231a002,b6dd694ae05541dba369a2a759d2c2b9
7200020,0,0,1,0.25,00:07:20,04:07:20,60,60,ef7a2e12c20043a9aba7fecf660b2616,5ec55e3f537d448d95144cec1cc37f54
7320021,1,0,0,1.0,00:07:32,04:07:32,240,240,af35b43e04df49b9b469a0018730faeb,9b8851cf57f944c6b168ec887558ffaa
7360022,4,1,0,4.5,00:07:36,04:07:36,1080,1080,b4258aba02fe457889bff20abcd3c10e,187a4c8fb27e4e5b9ef800a4ad5d4301
7520023,0,0,1,0.25,00:07:52,04:07:52,60,60,6999d8c076aa42f3b42c6c96dc2ccc4c,14174a048a0147be86981428ec8df189
8420024,0,1,0,0.5,00:08:42,04:08:42,120,120,ce433928b8724d77bbe97ccb1e3312a5,cdcbb2960996475fb11a199d4226fc15
8420025,0,1,0,0.5,00:08:42,04:08:42,120,120,dd538f8238a5430b8135b89b8afe2511,c56a0078468d4f1498be9e79f6bbd4c0
8460026,0,1,0,0.5,00:08:46,04:08:46,120,120,d1f8de642d734931be957336196d996d,6ac617af0ea04e9bbbc3b206d86d73a6
9260027,1,1,0,1.5,00:09:26,04:09:26,360,360,bdb72ae965bb4229a3b93402b5cd3d78,f7d977891ba84a7491024709803f38cc
9590028,0,0,1,0.25,00:09:59,04:09:59,60,60,5ec55e3f537d448d95144cec1cc37f54,9b02d5056bcf48abba07259bb3ca9396
10540029,0,0,1,0.25,00:10:54,04:10:54,60,60,c0979c05f2c44e6fa7c5e42ae9aa977e,5920212e6b0b46b198b9677bfe74f35d
11010030,0,0,1,0.25,00:11:01,04:11:01,60,60,a678f7137f7e4debbc6bc4679cd2c1b4,681162833e354d329df2b7aff119f015
11400031,1,0,0,1.0,00:11:40,04:11:40,240,240,7782ed919d8f4dd6a1fb220dacd73445,6380b13f12984a08a4994fb4c126215b
12230032,0,1,0,0.5,00:12:23,04:12:23,120,120,5920212e6b0b46b198b9677bfe74f35d,66b7f2fbd6a042c1bbd1b567d68daa56
12270033,2,6,0,5.0,00:12:27,04:12:27,1200,1200,3fbffad04fa44c75926557097f03a15c,6999d8c076aa42f3b42c6c96dc2ccc4c
12490034,0,0,1,0.25,00:12:49,04:12:49,60,60,5ec55e3f537d448d95144cec1cc37f54,fc583f43dd594e1fbc333052a2e5fb30
13120035,0,0,3,0.75,00:13:12,04:13:12,180,180,a6d6e6a52a0044e99991fc8fb0248027,f99babdb60984c91ab485b8590630839
13190036,1,0,0,1.0,00:13:19,04:13:19,240,240,ce433928b8724d77bbe97ccb1e3312a5,d1f8de642d734931be957336196d996d
14080037,0,1,0,0.5,00:14:08,04:14:08,120,120,f5264a9b32c94706a8bc981ab961952a,cd837256e92d4dda8e4a738c049dbcd6
15190038,0,0,2,0.5,00:15:19,04:15:19,120,120,212c60c932ca4e4c8cf922cb2ec2fadd,f5118fa189b742a897beec2f77de9b27
15300039,0,0,1,0.25,00:15:30,04:15:30,60,60,99f05d5e71104b04838cff91b231a002,f5264a9b32c94706a8bc981ab961952a
15350040,0,0,4,1.0,00:15:35,04:15:35,240,240,ce433928b8724d77bbe97ccb1e3312a5,5eb5c6872aa04a0c8175969801d56658
15470041,0,0,1,0.25,00:15:47,04:15:47,60,60,9b02d5056bcf48abba07259bb3ca9396,77ec676ff9e348298044721c0fc2b690
16410042,0,1,0,0.5,00:16:41,04:16:41,120,120,13f358cee72045fc8e52fc834957788a,ce433928b8724d77bbe97ccb1e3312a5
17400043,1,0,0,1.0,00:17:40,04:17:40,240,240,852c1621c9c44d029b33d71c1274caeb,d66f217d91dd4b43a32fb4984c74845d
17440044,0,1,0,0.5,00:17:44,04:17:44,120,120,fa366fc87a124d32926daa5bb093129f,390904f3744145508d8c9f8361a23e72
